ID,Title,Description,genre,aired,episodes,members,popularity,ranked,score,img_url,link
20,Naruto,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. 
 
Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']","Oct 3, 2002 to Feb 8, 2007",220,1280914,9,670,7.93,https://cdn.myanimelist.net/images/anime/13/17405.jpg,https://myanimelist.net/anime/20/Naruto
21,One Piece,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King. 
 
Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy’s reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece. 
 
[Written by MAL Rewrite] ","['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']","Oct 20, 1999 to ?",,948342,35,86,8.53,https://cdn.myanimelist.net/images/anime/6/73245.jpg,https://myanimelist.net/anime/21/One_Piece
22,Tennis no Ouji-sama,"The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best.  
 
Seishun Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever. 
 
 Prince of Tennis  follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father’s name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true.","['Action', 'Comedy', 'Sports', 'School', 'Shounen']","Oct 10, 2001 to Mar 23, 2005",178,122801,915,627,7.97,https://cdn.myanimelist.net/images/anime/6/21624.jpg,https://myanimelist.net/anime/22/Tennis_no_Ouji-sama
23,Ring ni Kakero 1,"In order to fulfill their dead father's wish, the siblings, Takane Kiku and Takane Ryuji aims for the champopn title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuji, will concentrate on the role of the boxer and learn the Boomerang. His battle with many rivals has led to the growth and maturity of Ryuji. The junior high boxing tournament has began and Ryuji will be fighting with his arch-rival, Kenzaki Jun. The battle begins. 
 
(Source: ANN)","['Action', 'Shounen', 'Sports']","Oct 6, 2004 to Dec 15, 2004",12,3214,6847,6136,6.49,https://cdn.myanimelist.net/images/anime/5/53487.jpg,https://myanimelist.net/anime/23/Ring_ni_Kakero_1
24,School Rumble,"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. 
 
 School Rumble  is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire. 
 
[Written by MAL Rewrite]","['Comedy', 'Romance', 'School', 'Shounen']","Oct 5, 2004 to Mar 29, 2005",26,243964,412,604,7.99,https://cdn.myanimelist.net/images/anime/4/75488.jpg,https://myanimelist.net/anime/24/School_Rumble
25,Sunabouzu,"The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves. 
 
One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes.  
 
Following their chaotic adventures through the Kanto Desert,  Sunabouzu  features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']","Oct 6, 2004 to Mar 30, 2005",24,98216,1112,1809,7.48,https://cdn.myanimelist.net/images/anime/6/75536.jpg,https://myanimelist.net/anime/25/Sunabouzu
26,Texhnolyze,"Texhnolyze  takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. 
 
Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.","['Action', 'Sci-Fi', 'Psychological', 'Drama']","Apr 17, 2003 to Sep 25, 2003",22,154140,720,1058,7.74,https://cdn.myanimelist.net/images/anime/3/18165.jpg,https://myanimelist.net/anime/26/Texhnolyze
26,Texhnolyze,"Texhnolyze  takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. 
 
Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.","['Action', 'Sci-Fi', 'Psychological', 'Drama']","Apr 17, 2003 to Sep 25, 2003",22,154089,720,1058,7.74,https://cdn.myanimelist.net/images/anime/3/18165.jpg,https://myanimelist.net/anime/26/Texhnolyze
27,Trinity Blood,"The background is in the distant future after the destruction brought about by Armageddon. The war between the vampires and the humans continue to persist. In order to protect the humans from the vampires, the Vatican has to rely on other allies to counter the situation. The protagonist,  Abel Nightroad, is a traveling priest from the Vatican and a crusnik, a vampire that drinks the blood of vampires. He is a member of the ""Ax"", a special operations group led by Cardinal Catherina Sforza. He encounters a young girl called Esther, who decides to go with him to Rome and train at the Vatican. Soon after he meets her, the order of Rozencreuz, led by Abel's twin, Cain, tries to continue the war so they can rule the world. It's up to Abel and the AX to try and stop them.","['Action', 'Supernatural', 'Vampire']","Apr 29, 2005 to Oct 28, 2005",24,145431,761,2225,7.38,https://cdn.myanimelist.net/images/anime/10/24649.jpg,https://myanimelist.net/anime/27/Trinity_Blood
28,Yakitate!! Japan,"Yakitate means ""fresh baked"", but the word ""Japan"" is actually a pun - pan means bread in Japanese, so Kazuma is out to make Japan, a unique Japanese bread to compete with the best bread from around the world! 
 
Azuma became obsessed with bread when he was six years old. His sister yelled that their family should start having bread for breakfast sometimes, but their grandfather refused to even consider it, as he would only eat natto, miso soup, and rice for breakfast. Kazuma agreed, saying he didn`t like bread, but his sister kidnaps him and takes him to a bread store to show him the wonders of fresh-baked bread. Not only is Kazuma converted, but the owner discovers that Kazuma has the magical ""Hands of the Sun"" whose warmth makes them particularly suited to making bread. The owner packs up shop and goes to Tokyo to fulfill his dream of making Japan, but Kazuma continues his bread-baking dream as well, and ends up going to Tokyo himself when he`s sixteen, to compete for a spot at the foremost bread store in Japan - Pantasia! 
","['Comedy', 'Shounen']","Oct 12, 2004 to Mar 14, 2006",69,71129,1476,592,8,https://cdn.myanimelist.net/images/anime/3/76432.jpg,https://myanimelist.net/anime/28/Yakitate_Japan
29,Zipang,"Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain anonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined. 
 
(Source: ANN)","['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']","Oct 8, 2004 to Apr 1, 2005",26,14398,3729,1580,7.55,https://cdn.myanimelist.net/images/anime/13/75740.jpg,https://myanimelist.net/anime/29/Zipang
30,Neon Genesis Evangelion,"In the year 2015, the world stands on the brink of destruction. Humanity's last hope lies in the hands of Nerv, a special agency under the United Nations, and their Evangelions, giant machines capable of defeating the Angels who herald Earth's ruin. Gendou Ikari, head of the organization, seeks compatible pilots who can synchronize with the Evangelions and realize their true potential. Aiding in this defensive endeavor are talented personnel Misato Katsuragi, Head of Tactical Operations, and Ritsuko Akagi, Chief Scientist. 
 
Face to face with his father for the first time in years, 14-year-old Shinji Ikari's average life is irreversibly changed when he is whisked away into the depths of Nerv, and into a harrowing new destiny—he must become the pilot of Evangelion Unit-01 with the fate of mankind on his shoulders. 
 
Written by Hideaki Anno,  Neon Genesis Evangelion  is a heroic tale of a young boy who will become a legend. But as this psychological drama unfolds, ancient secrets beneath the big picture begin to bubble to the surface... 
 
[Written by MAL Rewrite]","['Action', 'Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']","Oct 4, 1995 to Mar 27, 1996",26,844506,49,208,8.33,https://cdn.myanimelist.net/images/anime/12/21418.jpg,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
31,Neon Genesis Evangelion: Death & Rebirth,"In the year 2015, more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery, a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity. 
 
Called into the city of Tokyo-3 by his father Gendou Ikari, teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother, Shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the Angels, Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever. 
 
[Written by MAL Rewrite]","['Drama', 'Mecha', 'Psychological', 'Sci-Fi']","Mar 15, 1997",1,145073,764,1730,7.5,https://cdn.myanimelist.net/images/anime/13/75963.jpg,https://myanimelist.net/anime/31/Neon_Genesis_Evangelion__Death___Rebirth
32,Neon Genesis Evangelion: The End of Evangelion,"With the final Angel vanquished, Nerv has one last enemy left to face—the humans under Seele's command. 
 
Left in a deep depression nearing the end of the original series, an indecisive Shinji Ikari struggles with the ultimatum presented to him: to completely accept mankind's existence, or renounce humanity's individuality. Meanwhile, at the core of a compromised Nerv, Gendou Ikari and Rei Ayanami approach Lilith in an attempt to realize their own ideals concerning the future of the world. 
 
 The End of Evangelion  serves as an alternate ending to the polarizing final episodes of  Neon Genesis Evangelion . With the fate of the universe hanging in the balance, the climactic final battle draws near. 
 
[Written by MAL Rewrite]","['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","Jul 19, 1997",1,402617,208,92,8.51,https://cdn.myanimelist.net/images/anime/12/39305.jpg,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
33,Kenpuu Denki Berserk,"Born from the corpse of his mother, a young mercenary known only as Guts, embraces the battlefield as his only means of survival. Day in and day out, putting his life on the line just to make enough to get by, he moves from one bloodshed to the next. 
 
After a run-in with the Band of the Hawk, a formidable troop of mercenaries, Guts is recruited by their charismatic leader Griffith, nicknamed the ""White Hawk."" As he quickly climbed the ranks in order to become the head of the offensive faction, Guts proves to be a mighty addition to Griffith's force, taking Midland by storm. However, while the band's quest for recognition continues, Guts slowly realizes that the world is not as black-and-white as he once assumed. 
 
Set in the medieval era,  Kenpuu Denki Berserk  is a dark, gritty tale that follows one man's struggle to find his own path, while supporting another's lust for power, and the unimaginable tragedy that begins to turn the wheels of fate. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']","Oct 8, 1997 to Apr 1, 1998",25,362021,250,105,8.48,https://cdn.myanimelist.net/images/anime/12/18520.jpg,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
43,Koukaku Kidoutai,"In the year 2029, Niihama City has become a technologically advanced metropolis. Due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. The world is now more interconnected than ever before, and the city's Public Security Section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift towards globalization. 
 
The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the ""Puppet Master,"" who leaves a trail of victims stripped of their memories. Like many in this futuristic world, the Puppet Master's body is almost entirely robotic, giving them incredible power.  
 
As Motoko and her subordinates follow the enigmatic criminal's trail, other parties—including Section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. Pondering about various philosophical questions, such as her own life's meaning, Motoko soon realizes that the one who will provide these answers is none other than the Puppet Master themself. 
 
[Written by MAL Rewrite]","['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']","Nov 18, 1995",1,402707,205,206,8.33,https://cdn.myanimelist.net/images/anime/10/82594.jpg,https://myanimelist.net/anime/43/Koukaku_Kidoutai
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. 
 
 Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen  details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man’s heart is divided between justice and corruption, while the fate of a nation rests on his actions. 
 
[Written by MAL Rewrite]","['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']","Feb 20, 1999 to Sep 22, 1999",4,200024,537,35,8.75,https://cdn.myanimelist.net/images/anime/1807/102419.jpg,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. 
 
Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. 
 
 Rurouni Kenshin: Meiji Kenkaku Romantan  tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals? 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']","Jan 10, 1996 to Sep 8, 1998",94,328520,294,178,8.37,https://cdn.myanimelist.net/images/anime/7/6803.jpg,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta. 
 
(Source: ANN)","['Samurai', 'Historical', 'Drama', 'Shounen']","Dec 20, 1997",1,40724,2166,1364,7.62,https://cdn.myanimelist.net/images/anime/4/47845.jpg,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka
47,Akira,"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns."" 
 
During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees. 
 
[Written by MAL Rewrite]","['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']","Jul 16, 1988",1,413262,195,331,8.18,https://cdn.myanimelist.net/images/anime/2/82596.jpg,https://myanimelist.net/anime/47/Akira
